gender,char,position,pinyin,pinyin_tone,pinyin_tone_number
m,西,1,xi,xī,xi1
m,来,1,lai,lái,lai2
m,阳,1,yang,yáng,yang2
m,如,1,ru,rú,ru2
m,冠,1,guan,guān,guan1
m,敏,1,min,mǐn,min3
m,才,1,cai,cái,cai2
m,晨,1,chen,chén,chen2
m,业,1,ye,yè,ye4
m,润,1,run,rùn,run4
m,震,1,zhen,zhèn,zhen4
m,昭,1,zhao,zhāo,zhao1
m,信,1,xin,xìn,xin4
m,峰,1,feng,fēng,feng1
m,纪,1,ji,jì,ji4
m,凡,1,fan,fán,fan2
m,秀,1,xiu,xiù,xiu4
m,裕,1,yu,yù,yu4
m,科,1,ke,kē,ke1
m,源,1,yuan,yuán,yuan2
m,君,1,jun,jūn,jun1
m,兵,1,bing,bīng,bing1
m,章,1,zhang,zhāng,zhang1
m,修,1,xiu,xiū,xiu1
m,二,1,er,èr,er4
m,波,1,bo,bō,bo1
m,晋,1,jin,jìn,jin4
m,涛,1,tao,tāo,tao1
m,丰,1,feng,fēng,feng1
m,常,1,chang,cháng,chang2
m,灿,1,can,càn,can4
m,石,1,shi,shí,shi2
m,存,1,cun,cún,cun2
m,刚,1,gang,gāng,gang1
m,昊,1,hao,hào,hao4
m,翔,1,xiang,xiáng,xiang2
m,森,1,sen,sēn,sen1
m,雷,1,lei,léi,lei2
m,秋,1,qiu,qiū,qiu1
m,腾,1,teng,téng,teng2
m,岩,1,yan,yán,yan2
m,帅,1,shuai,shuài,shuai4
m,民,1,min,mín,min2
m,威,1,wei,wēi,wei1
m,磊,1,lei,lěi,lei3
m,从,1,cong,cóng,cong2
m,之,1,zhi,zhī,zhi1
m,代,1,dai,dài,dai4
m,久,1,jiu,jiǔ,jiu3
m,扬,1,yang,yáng,yang2
m,孟,1,meng,mèng,meng4
m,岳,1,yue,yuè,yue4
m,邦,1,bang,bāng,bang1
m,可,1,ke,kě,ke3
m,绪,1,xu,xù,xu4
m,镇,1,zhen,zhèn,zhen4
m,山,1,shan,shān,shan1
m,炜,1,wei,wěi,wei3
m,栋,1,dong,dòng,dong4
m,乃,1,nai,nǎi,nai3
m,汝,1,ru,rǔ,ru3
m,以,1,yi,yǐ,yi3
m,虎,1,hu,hǔ,hu3
m,秉,1,bing,bǐng,bing3
m,京,1,jing,jīng,jing1
m,宜,1,yi,yí,yi2
m,令,1,ling,lìng,ling4
m,泉,1,quan,quán,quan2
m,南,1,nan,nán,nan2
m,炎,1,yan,yán,yan2
m,锐,1,rui,ruì,rui4
m,得,1,de,dé,de2
m,厚,1,hou,hòu,hou4
m,殿,1,dian,diàn,dian4
m,坚,1,jian,jiān,jian1
m,升,1,sheng,shēng,sheng1
m,雨,1,yu,yǔ,yu3
m,锋,1,feng,fēng,feng1
m,迪,1,di,dí,di2
m,照,1,zhao,zhào,zhao4
m,钦,1,qin,qīn,qin1
m,冬,1,dong,dōng,dong1
m,川,1,chuan,chuān,chuan1
m,经,1,jing,jīng,jing1
m,时,1,shi,shí,shi2
m,再,1,zai,zài,zai4
m,诚,1,cheng,chéng,cheng2
m,诗,1,shi,shī,shi1
m,献,1,xian,xiàn,xian4
m,行,1,xing,xíng,xing2
m,劲,1,jin,jìn,jin4
m,泰,1,tai,tài,tai4
m,昆,1,kun,kūn,kun1
m,月,1,yue,yuè,yue4
m,观,1,guan,guān,guan1
m,旺,1,wang,wàng,wang4
m,展,1,zhan,zhǎn,zhan3
m,木,1,mu,mù,mu4
m,燕,1,yan,yàn,yan4
m,鹤,1,he,hè,he4
m,骏,1,jun,jùn,jun4
m,能,1,neng,néng,neng2
m,逸,1,yi,yì,yi4
m,凌,1,ling,líng,ling2
m,乾,1,qian,qián,qian2
m,周,1,zhou,zhōu,zhou1
m,煜,1,yu,yù,yu4
m,名,1,ming,míng,ming2
m,四,1,si,sì,si4
m,重,1,zhong,zhòng,zhong4
m,彬,1,bin,bīn,bin1
m,皓,1,hao,hào,hao4
m,百,1,bai,bǎi,bai3
m,允,1,yun,yǔn,yun3
m,航,1,hang,háng,hang2
m,豪,1,hao,háo,hao2
m,理,1,li,lǐ,li3
m,熙,1,xi,xī,xi1
m,鲁,1,lu,lǔ,lu3
m,化,1,hua,huà,hua4
m,济,1,ji,jì,ji4
m,奕,1,yi,yì,yi4
m,均,1,jun,jūn,jun1
m,卓,1,zhuo,zhuó,zhuo2
m,征,1,zheng,zhēng,zheng1
m,庭,1,ting,tíng,ting2
m,奎,1,kui,kuí,kui2
m,亦,1,yi,yì,yi4
m,洋,1,yang,yáng,yang2
m,程,1,cheng,chéng,cheng2
m,前,1,qian,qián,qian2
m,路,1,lu,lù,lu4
m,通,1,tong,tōng,tong1
m,言,1,yan,yán,yan2
m,群,1,qun,qún,qun2
m,付,1,fu,fù,fu4
m,基,1,ji,jī,ji1
m,钟,1,zhong,zhōng,zhong1
m,贺,1,he,hè,he4
m,召,1,zhao,zhào,zhao4
m,心,1,xin,xīn,xin1
m,述,1,shu,shù,shu4
m,慧,1,hui,huì,hui4
m,齐,1,qi,qí,qi2
m,火,1,huo,huǒ,huo3
m,隆,1,long,lóng,long2
m,宣,1,xuan,xuān,xuan1
m,战,1,zhan,zhàn,zhan4
m,声,1,sheng,shēng,sheng1
m,梓,1,zi,zǐ,zi3
m,必,1,bi,bì,bi4
m,弘,1,hong,hóng,hong2
m,艳,1,yan,yàn,yan4
m,衍,1,yan,yǎn,yan3
m,法,1,fa,fǎ,fa3
m,黎,1,li,lí,li2
m,寅,1,yin,yín,yin2
m,宁,1,ning,níng,ning2
m,功,1,gong,gōng,gong1
m,权,1,quan,quán,quan2
m,冲,1,chong,chōng,chong1
m,丙,1,bing,bǐng,bing3
m,峻,1,jun,jùn,jun4
m,起,1,qi,qǐ,qi3
m,佑,1,you,yòu,you4
m,阿,1,a,ā,a1
m,曙,1,shu,shǔ,shu3
m,靖,1,jing,jìng,jing4
m,啸,1,xiao,xiào,xiao4
m,尧,1,yao,yáo,yao2
m,风,1,feng,fēng,feng1
m,攀,1,pan,pān,pan1
m,致,1,zhi,zhì,zhi4
m,伦,1,lun,lún,lun2
m,品,1,pin,pǐn,pin3
m,添,1,tian,tiān,tian1
m,北,1,bei,běi,bei3
m,渊,1,yuan,yuān,yuan1
m,鼎,1,ding,dǐng,ding3
m,宾,1,bin,bīn,bin1
m,壮,1,zhuang,zhuàng,zhuang4
m,美,1,mei,měi,mei3
m,杨,1,yang,yáng,yang2
m,钢,1,gang,gāng,gang1
m,钧,1,jun,jūn,jun1
m,纯,1,chun,chún,chun2
m,望,1,wang,wàng,wang4
m,彪,1,biao,biāo,biao1
m,九,1,jiu,jiǔ,jiu3
m,联,1,lian,lián,lian2
m,硕,1,shuo,shuò,shuo4
m,勤,1,qin,qín,qin2
m,若,1,ruo,ruò,ruo4
m,沛,1,pei,pèi,pei4
m,滨,1,bin,bīn,bin1
m,公,1,gong,gōng,gong1
m,繁,1,fan,fán,fan2
m,效,1,xiao,xiào,xiao4
m,艺,1,yi,yì,yi4
m,城,1,cheng,chéng,cheng2
m,轩,1,xuan,xuān,xuan1
m,猛,1,meng,měng,meng3
m,河,1,he,hé,he2
m,人,1,ren,rén,ren2
m,迎,1,ying,yíng,ying2
m,帮,1,bang,bāng,bang1
m,任,1,ren,rèn,ren4
m,满,1,man,mǎn,man3
m,谦,1,qian,qiān,qian1
m,念,1,nian,niàn,nian4
m,原,1,yuan,yuán,yuan2
m,余,1,yu,yú,yu2
m,宽,1,kuan,kuān,kuan1
m,合,1,he,hé,he2
m,湘,1,xiang,xiāng,xiang1
m,现,1,xian,xiàn,xian4
m,麟,1,lin,lín,lin2
m,师,1,shi,shī,shi1
m,井,1,jing,jǐng,jing3
m,鸣,1,ming,míng,ming2
m,申,1,shen,shēn,shen1
m,普,1,pu,pǔ,pu3
m,官,1,guan,guān,guan1
m,野,1,ye,yě,ye3
m,翼,1,yi,yì,yi4
m,焱,1,yan,yàn,yan4
m,翰,1,han,hàn,han4
m,叶,1,ye,yè,ye4
m,田,1,tian,tián,tian2
m,楚,1,chu,chǔ,chu3
m,韶,1,shao,sháo,shao2
m,柱,1,zhu,zhù,zhu4
m,步,1,bu,bù,bu4
m,在,1,zai,zài,zai4
m,关,1,guan,guān,guan1
m,勋,1,xun,xūn,xun1
m,岗,1,gang,gǎng,gang3
m,挺,1,ting,tǐng,ting3
m,复,1,fu,fù,fu4
m,知,1,zhi,zhī,zhi1
m,梁,1,liang,liáng,liang2
m,洲,1,zhou,zhōu,zhou1
m,赞,1,zan,zàn,zan4
m,尔,1,er,ěr,er3
m,澄,1,cheng,chéng,cheng2
m,钊,1,zhao,zhāo,zhao1
m,佐,1,zuo,zuǒ,zuo3
m,敦,1,dun,dūn,dun1
m,留,1,liu,liú,liu2
m,甲,1,jia,jiǎ,jia3
m,烈,1,lie,liè,lie4
m,韬,1,tao,tāo,tao1
m,印,1,yin,yìn,yin4
m,逢,1,feng,féng,feng2
m,晟,1,cheng,chéng,cheng2
m,于,1,yu,yú,yu2
m,臣,1,chen,chén,chen2
m,巨,1,ju,jù,ju4
m,泓,1,hong,hóng,hong2
m,浪,1,lang,làng,lang4
m,巍,1,wei,wēi,wei1
m,丁,1,ding,dīng,ding1
m,镜,1,jing,jìng,jing4
m,炯,1,jiong,jiǒng,jiong3
m,毓,1,yu,yù,yu4
m,衡,1,heng,héng,heng2
m,训,1,xun,xùn,xun4
m,典,1,dian,diǎn,dian3
m,戈,1,ge,gē,ge1
m,瀚,1,han,hàn,han4
m,梦,1,meng,mèng,meng4
m,放,1,fang,fàng,fang4
m,玄,1,xuan,xuán,xuan2
m,禄,1,lu,lù,lu4
m,标,1,biao,biāo,biao1
m,选,1,xuan,xuǎn,xuan3
m,千,1,qian,qiān,qian1
m,舜,1,shun,shùn,shun4
m,争,1,zheng,zhēng,zheng1
m,越,1,yue,yuè,yue4
m,细,1,xi,xì,xi4
m,甫,1,fu,fǔ,fu3
m,则,1,ze,zé,ze2
m,见,1,jian,jiàn,jian4
m,斯,1,si,sī,si1
m,儒,1,ru,rú,ru2
m,琨,1,kun,kūn,kun1
m,祺,1,qi,qí,qi2
m,键,1,jian,jiàn,jian4
m,李,1,li,lǐ,li3
m,淳,1,chun,chún,chun2
m,堂,1,tang,táng,tang2
m,朗,1,lang,lǎng,lang3
m,臻,1,zhen,zhēn,zhen1
m,魁,1,kui,kuí,kui2
m,雁,1,yan,yàn,yan4
m,孔,1,kong,kǒng,kong3
m,麒,1,qi,qí,qi2
m,颂,1,song,sòng,song4
m,嵩,1,song,sōng,song1
m,年,1,nian,nián,nian2
m,欣,1,xin,xīn,xin1
m,财,1,cai,cái,cai2
m,深,1,shen,shēn,shen1
m,鉴,1,jian,jiàn,jian4
m,里,1,li,lǐ,li3
m,实,1,shi,shí,shi2
m,季,1,ji,jì,ji4
m,肇,1,zhao,zhào,zhao4
m,涌,1,yong,yǒng,yong3
m,闯,1,chuang,chuǎng,chuang3
m,苏,1,su,sū,su1
m,静,1,jing,jìng,jing4
m,芳,1,fang,fāng,fang1
m,刘,1,liu,liú,liu2
m,灵,1,ling,líng,ling2
m,张,1,zhang,zhāng,zhang1
m,积,1,ji,jī,ji1
m,潮,1,chao,cháo,chao2
m,辰,1,chen,chén,chen2
m,驰,1,chi,chí,chi2
m,介,1,jie,jiè,jie4
m,策,1,ce,cè,ce4
m,楷,1,kai,kǎi,kai3
m,陈,1,chen,chén,chen2
m,际,1,ji,jì,ji4
m,慎,1,shen,shèn,shen4
m,侃,1,kan,kǎn,kan3
m,煌,1,huang,huáng,huang2
m,迅,1,xun,xùn,xun4
m,昱,1,yu,yù,yu4
m,特,1,te,tè,te4
m,昂,1,ang,áng,ang2
m,竹,1,zhu,zhú,zhu2
m,端,1,duan,duān,duan1
m,映,1,ying,yìng,ying4
m,睿,1,rui,ruì,rui4
m,创,1,chuang,chuàng,chuang4
m,易,1,yi,yì,yi4
m,玺,1,xi,xǐ,xi3
m,俭,1,jian,jiǎn,jian3
m,习,1,xi,xí,xi2
m,骁,1,xiao,xiāo,xiao1
m,革,1,ge,gé,ge2
m,上,1,shang,shàng,shang4
m,稳,1,wen,wěn,wen3
m,耿,1,geng,gěng,geng3
m,滔,1,tao,tāo,tao1
m,贻,1,yi,yí,yi2
m,屹,1,yi,yì,yi4
m,更,1,geng,gèng,geng4
m,湖,1,hu,hú,hu2
m,旗,1,qi,qí,qi2
m,勃,1,bo,bó,bo2
m,举,1,ju,jǔ,ju3
m,尊,1,zun,zūn,zun1
m,骥,1,ji,jì,ji4
m,真,1,zhen,zhēn,zhen1
m,冀,1,ji,jì,ji4
m,颖,1,ying,yǐng,ying3
m,钰,1,yu,yù,yu4
m,佩,1,pei,pèi,pei4
m,怡,1,yi,yí,yi2
m,彭,1,peng,péng,peng2
m,池,1,chi,chí,chi2
m,悦,1,yue,yuè,yue4
m,灏,1,hao,hào,hao4
m,碧,1,bi,bì,bi4
m,坡,1,po,pō,po1
m,聪,1,cong,cōng,cong1
m,兰,1,lan,lán,lan2
m,铎,1,duo,duó,duo2
m,植,1,zhi,zhí,zhi2
m,都,1,dou,dōu,dou1
m,丕,1,pi,pī,pi1
m,干,1,gan,gàn,gan4
m,湛,1,zhan,zhàn,zhan4
m,呈,1,cheng,chéng,cheng2
m,昶,1,chang,chǎng,chang3
m,垒,1,lei,lěi,lei3
m,校,1,xiao,xiào,xiao4
m,拓,1,tuo,tuò,tuo4
m,居,1,ju,jū,ju1
m,幼,1,you,yòu,you4
m,贞,1,zhen,zhēn,zhen1
m,炼,1,lian,liàn,lian4
m,宸,1,chen,chén,chen2
m,肖,1,xiao,xiào,xiao4
m,惟,1,wei,wéi,wei2
m,王,1,wang,wáng,wang2
m,豹,1,bao,bào,bao4
m,胤,1,yin,yìn,yin4
m,拥,1,yong,yōng,yong1
m,竟,1,jing,jìng,jing4
m,五,1,wu,wǔ,wu3
m,焰,1,yan,yàn,yan4
m,纲,1,gang,gāng,gang1
m,棋,1,qi,qí,qi2
m,霆,1,ting,tíng,ting2
m,罡,1,gang,gāng,gang1
m,叔,1,shu,shū,shu1
m,好,1,hao,hǎo,hao3
m,州,1,zhou,zhōu,zhou1
m,多,1,duo,duō,duo1
m,亨,1,heng,hēng,heng1
m,炫,1,xuan,xuàn,xuan4
m,朴,1,pu,pǔ,pu3
m,至,1,zhi,zhì,zhi4
m,精,1,jing,jīng,jing1
m,土,1,tu,tǔ,tu3
m,熠,1,yi,yì,yi4
m,禹,1,yu,yǔ,yu3
m,纬,1,wei,wěi,wei3
m,亿,1,yi,yì,yi4
m,锴,1,kai,kǎi,kai3
m,港,1,gang,gǎng,gang3
m,汇,1,hui,huì,hui4
m,觉,1,jue,jué,jue2
m,柳,1,liu,liǔ,liu3
m,许,1,xu,xǔ,xu3
m,众,1,zhong,zhòng,zhong4
m,聚,1,ju,jù,ju4
m,社,1,she,shè,she4
m,马,1,ma,mǎ,ma3
m,地,1,di,dì,di4
m,澍,1,shu,shù,shu4
m,勉,1,mian,miǎn,mian3
m,列,1,lie,liè,lie4
m,计,1,ji,jì,ji4
m,朋,1,peng,péng,peng2
m,节,1,jie,jié,jie2
m,坦,1,tan,tǎn,tan3
m,用,1,yong,yòng,yong4
m,烽,1,feng,fēng,feng1
m,后,1,hou,hòu,hou4
m,历,1,li,lì,li4
m,雍,1,yong,yōng,yong1
m,罗,1,luo,luó,luo2
m,夏,1,xia,xià,xia4
m,郑,1,zheng,zhèng,zheng4
m,唐,1,tang,táng,tang2
m,奔,1,ben,bēn,ben1
m,淮,1,huai,huái,huai2
m,庚,1,geng,gēng,geng1
m,鲲,1,kun,kūn,kun1
m,农,1,nong,nóng,nong2
m,冰,1,bing,bīng,bing1
m,璋,1,zhang,zhāng,zhang1
m,闻,1,wen,wén,wen2
m,锁,1,suo,suǒ,suo3
m,阔,1,kuo,kuò,kuo4
m,轶,1,yi,yì,yi4
m,统,1,tong,tǒng,tong3
m,蛟,1,jiao,jiāo,jiao1
m,团,1,tuan,tuán,tuan2
m,初,1,chu,chū,chu1
m,渭,1,wei,wèi,wei4
m,蓬,1,peng,péng,peng2
m,协,1,xie,xié,xie2
m,熊,1,xiong,xióng,xiong2
m,潜,1,qian,qián,qian2
m,范,1,fan,fàn,fan4
m,幸,1,xing,xìng,xing4
m,竞,1,jing,jìng,jing4
m,奉,1,feng,fèng,feng4
m,体,1,ti,tǐ,ti3
m,懋,1,mao,mào,mao4
m,奋,1,fen,fèn,fen4
m,录,1,lu,lù,lu4
m,淦,1,gan,gàn,gan4
m,梅,1,mei,méi,mei2
m,陆,1,lu,lù,lu4
m,桓,1,huan,huán,huan2
m,锟,1,kun,kūn,kun1
m,羽,1,yu,yǔ,yu3
m,霄,1,xiao,xiāo,xiao1
m,记,1,ji,jì,ji4
m,赵,1,zhao,zhào,zhao4
m,逊,1,xun,xùn,xun4
m,准,1,zhun,zhǔn,zhun3
m,恭,1,gong,gōng,gong1
m,序,1,xu,xù,xu4
m,嗣,1,si,sì,si4
m,狄,1,di,dí,di2
m,浚,1,jun,jùn,jun4
m,直,1,zhi,zhí,zhi2
m,岸,1,an,àn,an4
m,耕,1,geng,gēng,geng1
m,醒,1,xing,xǐng,xing3
m,流,1,liu,liú,liu2
m,舰,1,jian,jiàn,jian4
m,式,1,shi,shì,shi4
m,象,1,xiang,xiàng,xiang4
m,颢,1,hao,hào,hao4
m,佰,1,bai,bǎi,bai3
m,津,1,jin,jīn,jin1
m,律,1,lv,lǜ,lv4
m,寒,1,han,hán,han2
m,意,1,yi,yì,yi4
m,泳,1,yong,yǒng,yong3
m,集,1,ji,jí,ji2
m,求,1,qiu,qiú,qiu2
m,结,1,jie,jié,jie2
m,荫,1,yin,yīn,yin1
m,曜,1,yao,yào,yao4
m,祝,1,zhu,zhù,zhu4
m,澎,1,peng,pēng,peng1
m,杭,1,hang,háng,hang2
m,将,1,jiang,jiāng,jiang1
m,练,1,lian,liàn,lian4
m,峥,1,zheng,zhēng,zheng1
m,琪,1,qi,qí,qi2
m,丞,1,cheng,chéng,cheng2
m,炬,1,ju,jù,ju4
m,廉,1,lian,lián,lian2
m,容,1,rong,róng,rong2
m,术,1,shu,shù,shu4
m,浦,1,pu,pǔ,pu3
m,侯,1,hou,hóu,hou2
m,丛,1,cong,cóng,cong2
m,铸,1,zhu,zhù,zhu4
m,乔,1,qiao,qiáo,qiao2
m,咸,1,xian,xián,xian2
m,珍,1,zhen,zhēn,zhen1
m,紫,1,zi,zǐ,zi3
m,愿,1,yuan,yuàn,yuan4
m,辅,1,fu,fǔ,fu3
m,恕,1,shu,shù,shu4
m,桥,1,qiao,qiáo,qiao2
m,载,1,zai,zài,zai4
m,迈,1,mai,mài,mai4
m,仰,1,yang,yǎng,yang3
m,曦,1,xi,xī,xi1
m,郁,1,yu,yù,yu4
m,韧,1,ren,rèn,ren4
m,图,1,tu,tú,tu2
m,又,1,you,yòu,you4
m,谋,1,mou,móu,mou2
m,孙,1,sun,sūn,sun1
m,琦,1,qi,qí,qi2
m,芝,1,zhi,zhī,zhi1
m,适,1,shi,shì,shi4
m,崎,1,qi,qí,qi2
m,解,1,jie,jiě,jie3
m,遂,1,sui,suì,sui4
m,赤,1,chi,chì,chi4
m,煊,1,xuan,xuān,xuan1
m,老,1,lao,lǎo,lao3
m,养,1,yang,yǎng,yang3
m,葛,1,ge,gé,ge2
m,郎,1,lang,láng,lang2
m,笃,1,du,dǔ,du3
m,贯,1,guan,guàn,guan4
m,无,1,wu,wú,wu2
m,笑,1,xiao,xiào,xiao4
m,炽,1,chi,chì,chi4
m,淼,1,miao,miǎo,miao3
m,顶,1,ding,dǐng,ding3
m,槐,1,huai,huái,huai2
m,环,1,huan,huán,huan2
m,尉,1,wei,wèi,wei4
m,号,1,hao,hào,hao4
m,院,1,yuan,yuàn,yuan4
m,参,1,can,cān,can1
m,燮,1,xie,xiè,xie4
m,伏,1,fu,fú,fu2
m,冶,1,ye,yě,ye3
m,度,1,du,dù,du4
m,量,1,liang,liàng,liang4
m,钱,1,qian,qián,qian2
m,逵,1,kui,kuí,kui2
m,由,1,you,yóu,you2
m,豫,1,yu,yù,yu4
m,岐,1,qi,qí,qi2
m,斗,1,dou,dòu,dou4
m,班,1,ban,bān,ban1
m,续,1,xu,xù,xu4
m,六,1,liu,liù,liu4
m,主,1,zhu,zhǔ,zhu3
m,柯,1,ke,kē,ke1
m,昕,1,xin,xīn,xin1
m,援,1,yuan,yuán,yuan2
m,沅,1,yuan,yuán,yuan2
m,乘,1,cheng,chéng,cheng2
m,因,1,yin,yīn,yin1
m,省,1,sheng,shěng,sheng3
m,丽,1,li,lì,li4
m,宙,1,zhou,zhòu,zhou4
m,墩,1,dun,dūn,dun1
m,庸,1,yong,yōng,yong1
